sum_cleanup_funding,Cleanup Completion Date,avg_acres_cleaned,avg_acres_grn_created,ACRES Property ID,2010 # Below Poverty,2010 # Low Income,2010 # Unemployed,2010 # Vacant Housing,2010 % Below Poverty,2010 % Low Income,2010 % Unemployed,2010 % Vacant Housing,2010 Median Income,Cntmnt Clnd Up-Arsenic,Cntmnt Clnd Up-Asbestos,Cntmnt Clnd Up-Cadmium,Cntmnt Clnd Up-Chromium,Cntmnt Clnd Up-Copper,Cntmnt Clnd Up-Ctrl Sbstncs,Cntmnt Clnd Up-Iron,Cntmnt Clnd Up-Lead,Cntmnt Clnd Up-Mercury,Cntmnt Clnd Up-Nickel,Cntmnt Clnd Up-None,Cntmnt Clnd Up-Other,Cntmnt Clnd Up-Other (Descr),Cntmnt Clnd Up-Other Metals,Cntmnt Clnd Up-PAHs,Cntmnt Clnd Up-PCBs,Cntmnt Clnd Up-Pesticides,Cntmnt Clnd Up-Petroleum,Cntmnt Clnd Up-SVOCs,Cntmnt Clnd Up-Selenium,Cntmnt Clnd Up-Unknown,Cntmnt Clnd Up-VOCs,Cntmnt Fnd-Arsenic,Cntmnt Fnd-Asbestos,Cntmnt Fnd-Cadmium,Cntmnt Fnd-Chromium,Cntmnt Fnd-Copper,Cntmnt Fnd-Ctrl Sbstncs,Cntmnt Fnd-Iron,Cntmnt Fnd-Lead,Cntmnt Fnd-Mercury,Cntmnt Fnd-Nickel,Cntmnt Fnd-None,Cntmnt Fnd-Other,Cntmnt Fnd-Other Metals,Cntmnt Fnd-PAHs,Cntmnt Fnd-PCBs,Cntmnt Fnd-Pesticides,Cntmnt Fnd-Petroleum,Cntmnt Fnd-SVOCs,Cntmnt Fnd-Selenium,Cntmnt Fnd-Unknown,Cntmnt Fnd-VOCs,Did Ownership Change,EPA Region,IC Catgry-Enfrcmnt/Prmt Tools,IC Catgry-Govmntal Ctrls,IC Catgry-Informational Dev,IC Catgry-Proprietary Ctrls,ICs in Place?,Institutional Ctrl (ICs) Req?,Media Affected-Air,Media Affected-Bldg Materials,Media Affected-Drnking Water,Media Affected-Ground Water,Media Affected-Indoor Air,Media Affected-Sediments,Media Affected-Soil,Media Affected-Surface Water,Media Affected-Unknown,Media Clnd Up-Air,Media Clnd Up-Bldg Materials,Media Clnd Up-Drnking Water,Media Clnd Up-Ground Water,Media Clnd Up-Indoor Air,Media Clnd Up-Sediments,Media Clnd Up-Soil,Media Clnd Up-Surface Water,Media Clnd Up-Unknown,Other Media Ind,Ownership Entity,Past Use: Commercial (arces),Past Use: Greenspace (arces),Past Use: Industrial (arces),Past Use: Multistory (arces),Past Use: Residential (arces),Photographs are available,Property Size,Radius,Ready For Reuse Ind,SFLLP fact into the ownership
146669.02,08/17/2009,3,2,13920,229,392,23,99,30.01,51.38,3.01,28.25,3977,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,N,6,,,,,N,N,,,,,,,,,,,,,,,,,,,Y,Private,3,,,,,Y,3,0.5,Y,N
2000000,01/01/2002,10,,14315,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,Y,,,,Y,N,9,,,,,U,N,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,Y,10,0.5,N,
590000,01/01/2008,11.4,,14476,838,2075,271,180,26.34,65.23,8.52,14.15,4796,Y,Y,,Y,,,,Y,,,,,,Y,,,,,Y,,,Y,Y,Y,,Y,,,,Y,,,,,Y,,,,,Y,,,Y,N,7,,,,Y,Y,Y,,Y,,Y,,,Y,,,,Y,,,,,Y,,,,Government,,,11.4,,,Y,11.4,0.5,Y,
230000,06/29/2012,2,2.25,14591,1429,2638,348,394,26.21,48.38,6.38,15.23,3185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,N,4,,,Y,,Y,Y,,,,Y,,,Y,,,,,,,,,,,,,Government,2.25,,,,,Y,2.25,0.5,Y,
425000,07/31/2010,3.6,0.1,14818,1329,2179,187,198,31.48,51.61,4.43,12.55,2042,,,,,,,,Y,,,,,,Y,Y,,,Y,,,,Y,,,,,,,,Y,,,,,Y,Y,,,Y,,,,Y,N,5,,,Y,,Y,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,,,3.6,,,Y,3.6,0.5,Y,N
511100,10/27/2010,1.57,5.505,15009,475,724,148,191,26.36,40.18,8.21,20.94,1449,,,,,,,,,,,,Y,Methane mitigation system,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,N,7,,,Y,Y,Y,Y,,,,,,,Y,,,,,,,,,Y,,,,Government,,,9.44,,,,9.44,0.5,Y,N
631000,06/11/2004,1,,15155,166,510,36,167,12.13,37.28,2.63,20.59,6635,,Y,,,,,,Y,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,,N,6,,,,,U,N,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,Y,1,0.5,Y,
42842,02/16/2007,3.6,,15162,1995,3682,358,565,32.93,60.78,5.91,18.24,6064,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,N,1,,,,,N,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,3.6,,,Y,3.6,0.5,Y,
52000,04/20/2005,6.5,2,15165,720,1537,187,189,25.52,54.48,6.63,14.87,2027,,Y,,,,,,Y,,,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,,,Y,1,,,,,,N,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,Y,6.5,0.5,Y,Y
356565,11/15/2004,31.25,,15170,,,,,,,,,,,,,,,,,Y,,,,Y,,Y,Y,,,Y,,,,Y,,,,,,,,Y,,,,Y,Y,Y,,,Y,,,,Y,N,2,,,,,Y,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,,,,,,,Y,40,0.5,Y,
240000,09/24/2009,12,,15175,159,318,29,32,16.81,33.62,3.07,8.55,1036,,,,,,,,,,,,Y,acid mine drainage,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,N,3,Y,Y,,Y,Y,Y,,,,Y,,Y,,Y,,,,,Y,,Y,,Y,,,,,,,,,Y,12,0.5,Y,
1150000,08/10/2005,5.5,5.5,15183,204,603,107,27,12.96,38.31,6.8,3.81,1524,,Y,,,,,,Y,,,,,,Y,Y,Y,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,N,5,,,,,N,Y,,,,,,,,,,,,,Y,,,Y,,,,Government,,,,,,Y,5.5,0.5,N,
231700,12/12/2004,17,17,15186,879,1534,187,222,36.87,64.35,7.84,20.18,2405,,Y,,,,,,Y,,,,,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,N,5,,,,,N,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,17,0.5,N,
785535.74,09/30/2008,0.4,,15195,815,1268,117,283,37.98,59.09,5.45,20.53,4092,,,,,,,,,,,,,,,Y,,,Y,,,,Y,,,,,,,,,,,,,,Y,,,Y,,,,Y,N,9,,,,,U,N,,,,,,,Y,,,,,,,,,Y,,,,Government,0.4,,,,,Y,0.4,0.5,Y,
500000,10/18/2004,1.92,,15199,1790,4088,784,335,16.01,36.56,7.01,9.4,9638,,,,,,,,Y,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,Y,,,,,Y,Y,Y,,Y,,,,,N,9,,,,,U,N,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,Y,1.92,0.5,Y,N
361404,03/15/2005,0.37,,15206,1082,2580,435,159,15.59,37.18,6.27,4.99,7684,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,N,10,,,,,,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,0.37,,,Y,0.37,0.5,Y,N
222041,08/01/2005,82.31,,15209,1,2,1,1,5,10,5,10.81,127,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,N,10,,,,,,N,,,,,,Y,Y,Y,,,,,,,Y,Y,Y,,,Government,82.31,,,,,Y,82.31,0.5,Y,N
280000,06/30/2008,4.2,4.2,15231,581,1217,174,31,11.04,23.11,3.3,1.27,10875,,,,,,,,Y,,,,Y,Arsenic,,Y,,,Y,,,,,,,,,,,,Y,,,,Y,,Y,,,Y,,,,,N,1,,,Y,,N,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,,,,Y,4.2,0.5,Y,
200000,08/11/2011,5,,15236,150,256,91,42,10.46,17.85,6.35,7.06,4951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,,,N,1,,,Y,,Y,Y,,,,Y,,Y,Y,Y,,,,,,,,,,,,Government,,,5,,,Y,5,0.5,N,
250,05/22/2008,0.06,,15267,602,1234,101,101,18.72,38.38,3.14,6.53,9721,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,N,1,,,Y,,Y,Y,,,,,,,Y,,,,,,,,,Y,,,,Private,0.06,,,,,,0.06,0.5,Y,
244975,06/30/2009,0.5,,15307,2405,4419,645,672,28.84,52.99,7.73,12.84,4886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Y,,Y,,,,Y,N,2,,Y,,Y,Y,Y,,,,Y,,,Y,,,,,,,,,Y,,,,Government,0.5,,,,,Y,0.5,0.5,Y,
450000,01/31/2010,4.73,,15416,1077,1642,144,109,49.22,75.05,6.58,12.31,1300,,Y,,,,,,Y,,,,Y,Antifreeze,,Y,Y,,Y,,,,,,Y,,,,,,Y,,,,Y,,Y,Y,,Y,,,,Y,Y,4,,,Y,Y,Y,Y,,,,Y,,,Y,,,,,,,,,Y,,,,Government,,,4.73,,,,4.73,0.5,Y,Y
364244.37,12/31/2009,5.6,,15428,740,1621,162,165,21.14,46.3,4.63,9.95,4087,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,Y,,,,Y,Y,,,,Y,,,,Y,N,5,,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,,,Y,,,,,,,Government,,,5.6,,,Y,5.6,0.5,Y,N
200000,06/14/2010,0.5,,15491,1008,1558,298,225,43.32,66.95,12.81,19.45,1475,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,N,5,Y,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,,,0.5,,,Y,0.5,0.5,Y,
18000,04/11/2004,0.17,,15543,1133,1723,151,278,30.58,46.5,4.08,14.75,3779,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,Y,,,,Y,Y,7,,,,,,N,,,,Y,,,Y,,,,,,Y,,,Y,,,,Private,0.17,,,,,Y,0.17,0.5,Y,N
12346.7,09/01/2006,0.07,0.07,15572,2704,4364,600,740,38.21,61.67,8.48,19.26,6651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,Y,N,5,,,,,U,,,,,,,,Y,,,,,,,,,,,,,Private,0.07,,,,,Y,0.07,0.5,N,
240000,08/26/2010,0.48,,15594,1531,2299,203,226,34.39,51.64,4.56,13.67,5109,,,,,,,,Y,,,,Y,Fill,Y,Y,,,,,,,,,,,,,,,Y,,,,Y,Y,Y,,,,,,,,N,5,,,Y,,Y,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,,,,,,Y,0.5,0.5,Y,N
77808.98,02/23/2007,0.19,,15744,3968,6191,530,941,41.01,63.99,5.48,23.64,6560,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,Y,N,5,,,,,,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,,,,Y,0.19,0.5,Y,
240000,11/01/2006,4,,15753,156,372,41,102,27.37,65.26,7.19,27.39,665,,,,,,,,Y,,,,Y,,Y,,,,,,,,,,,,,,,,Y,,,,Y,Y,,,,,,,,,N,3,,,Y,,N,Y,,,,,,,Y,,,,,,,,,Y,,,,Government,,,15,,,Y,15,0.5,N,
687809.35,04/30/2006,0.34,,15757,4653,7038,682,937,27.09,40.98,3.97,9.47,6224,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,N,10,,,,,,N,,,,Y,,,Y,,,,,,,,,Y,,,,Government,,,,,,Y,0.34,0.5,Y,
317620,04/08/2009,45.9,45.9,15763,20,97,9,394,6.85,33.22,3.08,72.29,6763,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,N,8,,,,Y,N,N,,,,,,,Y,,,,,,,,,Y,,,,Private,,45.9,,,,Y,45.9,0.5,Y,
1551307,07/15/2010,0.17,,15772,1119,2888,426,268,21.35,55.1,8.13,15.27,4917,,,,,,,,,,,,Y,BTEX,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,N,9,,,Y,,Y,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Private,0.17,,,,,Y,0.17,0.5,Y,
