sum_cleanup_funding,Cleanup Completion Date,avg_acres_cleaned,avg_acres_grn_created,ACRES Property ID,2010 # Below Poverty,2010 # Low Income,2010 # Unemployed,2010 # Vacant Housing,2010 % Below Poverty,2010 % Low Income,2010 % Unemployed,2010 % Vacant Housing,2010 Median Income,Cntmnt Clnd Up-Arsenic,Cntmnt Clnd Up-Asbestos,Cntmnt Clnd Up-Cadmium,Cntmnt Clnd Up-Chromium,Cntmnt Clnd Up-Copper,Cntmnt Clnd Up-Ctrl Sbstncs,Cntmnt Clnd Up-Iron,Cntmnt Clnd Up-Lead,Cntmnt Clnd Up-Mercury,Cntmnt Clnd Up-Nickel,Cntmnt Clnd Up-None,Cntmnt Clnd Up-Other,Cntmnt Clnd Up-Other (Descr),Cntmnt Clnd Up-Other Metals,Cntmnt Clnd Up-PAHs,Cntmnt Clnd Up-PCBs,Cntmnt Clnd Up-Pesticides,Cntmnt Clnd Up-Petroleum,Cntmnt Clnd Up-SVOCs,Cntmnt Clnd Up-Selenium,Cntmnt Clnd Up-Unknown,Cntmnt Clnd Up-VOCs,Cntmnt Fnd-Arsenic,Cntmnt Fnd-Asbestos,Cntmnt Fnd-Cadmium,Cntmnt Fnd-Chromium,Cntmnt Fnd-Copper,Cntmnt Fnd-Ctrl Sbstncs,Cntmnt Fnd-Iron,Cntmnt Fnd-Lead,Cntmnt Fnd-Mercury,Cntmnt Fnd-Nickel,Cntmnt Fnd-None,Cntmnt Fnd-Other,Cntmnt Fnd-Other Metals,Cntmnt Fnd-PAHs,Cntmnt Fnd-PCBs,Cntmnt Fnd-Pesticides,Cntmnt Fnd-Petroleum,Cntmnt Fnd-SVOCs,Cntmnt Fnd-Selenium,Cntmnt Fnd-Unknown,Cntmnt Fnd-VOCs,Did Ownership Change,EPA Region,IC Catgry-Enfrcmnt/Prmt Tools,IC Catgry-Govmntal Ctrls,IC Catgry-Informational Dev,IC Catgry-Proprietary Ctrls,ICs in Place?,Institutional Ctrl (ICs) Req?,Media Affected-Air,Media Affected-Bldg Materials,Media Affected-Drnking Water,Media Affected-Ground Water,Media Affected-Indoor Air,Media Affected-Sediments,Media Affected-Soil,Media Affected-Surface Water,Media Affected-Unknown,Media Clnd Up-Air,Media Clnd Up-Bldg Materials,Media Clnd Up-Drnking Water,Media Clnd Up-Ground Water,Media Clnd Up-Indoor Air,Media Clnd Up-Sediments,Media Clnd Up-Soil,Media Clnd Up-Surface Water,Media Clnd Up-Unknown,Other Media Ind,Ownership Entity,Past Use: Commercial (arces),Past Use: Greenspace (arces),Past Use: Industrial (arces),Past Use: Multistory (arces),Past Use: Residential (arces),Photographs are available,Property Size,Radius,Ready For Reuse Ind,SFLLP fact into the ownership
86500,06/01/2011,7.5,2,116021,737,915,103,52,69.59,86.4,9.73,12.83,842,,,,,,,,Y,,,,,,Y,Y,,,,,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,Y,5,,Y,Y,Y,Y,Y,,,,,,,Y,,,,,,,,,Y,,,,Private,,2.5,,,5,Y,7.5,0.5,Y,Y
200000,06/24/2015,11,,116405,27,82,10,15,20.61,62.6,7.63,24.96,846,,Y,,Y,,,,,,,,,,Y,,,,Y,,,,Y,,Y,,Y,,,,,,,,,Y,,,,Y,,,,Y,N,1,,Y,Y,,Y,Y,,Y,,,,,Y,,,,Y,,,,,Y,,,,Government,,,11,,,Y,11,0.5,Y,
210702,08/19/2011,2.18,,116841,906,1812,380,283,26.41,52.83,11.08,21.11,4473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,N,5,,,,Y,Y,Y,,,,,,,Y,,,,,,,,,,,,,Government,,,2.18,,,Y,2.18,0.5,Y,N
181947,04/17/2017,0.25,,117341,289,784,26,124,9.18,24.9,0.83,8.85,7939,,Y,,,,,,Y,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,,Y,8,,,,,N,N,,,,Y,,,Y,,,,,,Y,,,Y,,,,Private,0.25,,,,,Y,0.25,0.5,Y,N
3700000,10/19/2013,150,,117981,4,9,1,7,14.29,32.14,3.57,36.67,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,10,,,,,,U,,,,,,,,,Y,,,,,,,,,,,Private,,,,,,Y,400,0.5,N,N
750000,06/13/2011,13.27,,119181,945,1568,254,207,26.68,44.27,7.17,12.97,3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,,,Y,,,,Y,Y,5,,,Y,,N,Y,,,,,,,Y,,,,,,,,,,,,,Government,,,13.27,,,Y,13.27,0.5,N,Y
353584,01/22/2013,0.14,,119782,645,1198,158,613,16.63,30.89,4.07,21.21,7858,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,Y,7,,,Y,,Y,Y,,Y,,,,,,,,,Y,,,,,,,,,Private,,,,,,Y,0.14,0.5,Y,N
231550,03/17/2010,6.3,,120205,892,1502,113,156,30.24,50.92,3.83,16.39,2326,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,N,9,,,,,,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,,,,,6.3,0.5,Y,N
467551,10/12/2008,2.74,,120393,1274,2326,268,171,37.69,68.82,7.93,10.77,8719,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,N,8,,,,,N,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,2.74,,,N,2.74,0.5,Y,N
677672,04/13/2013,0.5,,120581,184,309,21,75,20.91,35.11,2.39,18.14,6017,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,Y,Y,,Y,,Y,,,,Y,N,10,,,Y,Y,Y,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,0.5,,,,,Y,0.5,0.5,Y,
12000,02/13/2011,0.5,,121021,23,36,3,0,31.94,50,4.17,0,1156,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,Y,,,,Y,,,,,N,8,,,,,N,N,,Y,,,Y,,Y,,,,Y,,,Y,,Y,,,,Government,0.5,,,,,Y,0.5,0.5,Y,N
200000,12/04/2012,0.06,,121322,118,320,8,146,15.17,41.13,1.03,31.65,6782,,Y,,,,,,Y,,,,,,Y,Y,,,Y,,,,,,Y,,,,,,Y,,,,,Y,Y,,,,,,,,N,1,,,,,N,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,,,,Y,0.06,0.5,Y,N
15412,05/25/2011,0.5,,121509,36,181,17,40,5.13,25.78,2.42,12.98,3588,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,7,,,,,N,N,,,,,,,,,,,,,,,,,,,,Private,0.5,,,,,Y,0.5,0.5,Y,N
850000,01/30/2009,4.19,,121921,335,1014,97,164,12.01,36.36,3.48,11.5,8662,,Y,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,N,5,,,,,,N,,,,,,,Y,,,,,,,,,,,,,Private,,,,,4.19,,4.19,0.5,Y,
374234,07/10/2012,0.48,,122105,658,1505,86,37,25.14,57.51,3.29,3.26,5254,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,7,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,0.48,,,,,Y,0.48,0.5,Y,N
294441,06/30/2014,0.25,,122186,648,849,11,28,67.36,88.25,1.14,10.43,3442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,N,10,,,Y,,Y,Y,,,,Y,,,Y,,,,,,,,,,,,,Private,0.25,,,,,Y,0.25,0.5,Y,
50000,12/30/2011,3.4,,122208,40,92,8,52,19.7,45.32,3.94,34.23,728,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,Y,Y,1,,,Y,Y,N,Y,,Y,,,,,Y,,,,Y,,,,,,,,,Private,,,3.4,,,,3.4,0.5,Y,Y
20000,04/01/2012,3,,122291,113,200,12,49,14.18,25.09,1.51,14.61,8594,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,5,,,,,N,N,,,,,,,,,,,,,,,,,,,Y,Private,,,3,,,Y,3,0.5,Y,N
10000,10/19/2010,1.68,,122643,273,848,213,61,6.38,19.83,4.98,2.93,11435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,N,5,,,,,,N,,,,,,,,,,,,,,,,,,,,Private,1.68,,,,,Y,1.68,0.5,Y,N
240000,07/05/2013,0.24,,122685,554,1787,236,197,9.72,31.36,4.14,7.68,8340,,,,,,,,Y,,,,,,,Y,,,Y,,,,Y,,Y,,,,,,Y,,,,,,,,,Y,,,,Y,N,1,,,,,,N,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,0.24,,,,,Y,0.24,0.5,Y,N
7000,06/04/2010,0.15,,122963,583,886,85,143,41.79,63.51,6.09,25,2774,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,Y,6,,,Y,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,0.22,,,,,,0.22,0.5,Y,Y
50000,05/15/2010,2,,123124,63,171,11,69,17.7,48.03,3.09,28.63,1549,,Y,,,,,,Y,,,,Y,Universal Wastes,,,,,,,,,,,Y,,,,,,Y,,,,Y,Y,Y,Y,,Y,,,,,N,1,,,Y,Y,N,Y,Y,,,Y,,Y,Y,,,,,,,,,,,,,Private,,,27,,,Y,27,0.5,N,N
240000,09/30/2014,39,,123171,0,0,0,0,0,0,0,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,N,3,Y,Y,,,N,Y,,,,Y,,,,,,,,,,,,,,,,,,,39,,,Y,39,0.5,N,N
240000,07/15/2016,0.67,,123177,3203,5425,729,692,31.37,53.14,7.14,12.85,4288,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,N,1,,,Y,,Y,Y,,,,,,,Y,,,,,,,,,Y,,,,Government,,,0.67,,,N,0.67,0.5,Y,N
200000,11/29/2011,2.6,,123241,1098,2126,264,461,35.04,67.84,8.42,24.62,4684,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,N,5,,,,,,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,2.6,,,Y,2.6,0.5,Y,N
380745,12/30/2010,3,,123461,2296,3718,607,574,39.79,64.43,10.52,24.46,8291,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,N,5,,,,,N,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,,,,Y,3,0.5,Y,N
85000,08/08/2012,5,,123802,1405,3724,255,241,25.46,67.49,4.62,11.94,2696,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,6,,,Y,,Y,Y,,Y,,,,,,,,,Y,,,,,,,,,Government,,,,,,Y,5,0.5,Y,
75000,01/10/2012,0.75,,124041,789,1033,205,90,55.17,72.24,14.34,17.36,1589,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,Y,,,,Y,Y,4,,,,,,N,,,,Y,,,Y,,,,,,,,,Y,,,,Private,4.79,,,,,Y,4.79,0.5,Y,Y
25452,04/21/2011,150,,124369,442,680,117,156,22.09,33.98,5.85,15.12,3706,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,Y,,,,Y,Y,6,,Y,,,Y,Y,,,,Y,,,Y,,,,,,,,,Y,,,,Government,,,150,,,Y,150,0.5,Y,Y
200000,08/20/2010,1.63,,124581,879,1534,187,222,36.87,64.35,7.84,20.18,2405,,,,,,,,Y,,,,,,Y,Y,,,,,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,N,5,,,,Y,N,Y,,,,Y,,,Y,,,,,,,,,Y,,,,Government,,,1.24,,0.61,Y,1.85,0.5,N,N
80791,12/04/2013,1.5,,124837,830,2639,84,524,14.14,44.97,1.43,19.13,9886,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,6,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,1.5,,,,,Y,1.5,0.5,Y,
56000,08/01/2010,3,,125223,974,1545,166,86,40.77,64.67,6.95,7.81,4875,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,5,,,,,N,N,Y,,,,,,,,,Y,,,,,,,,,,Private,,,,,3,N,3,0.5,Y,N
4905,08/17/2012,1.28,,125376,85,242,40,75,13.69,38.97,6.44,20.68,3920,,,,,,,,Y,,,,,,Y,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,6,,,Y,,N,Y,,,,,,,,,,,,,,,,Y,,,,Private,1.25,,,,,Y,1.28,0.5,N,N
8161,09/01/2010,0.1,,125501,103,322,19,65,10.84,33.89,2,13.54,8198,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,8,,,,,N,N,Y,,,,,,,,,Y,,,,,,,,,,Government,0.1,,,,,Y,0.1,0.5,Y,N
8161,09/01/2010,0.1,,125505,103,322,19,65,10.84,33.89,2,13.54,8198,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,8,,,,,N,N,Y,,,,,,,,,Y,,,,,,,,,,Government,0.1,,,,,Y,0.1,0.5,Y,N
55740,09/30/2011,4,,125731,299,1001,83,93,15.51,51.92,4.3,10.24,2828,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,9,,,,,,N,,Y,,,,,,,,,Y,,,,,,,,,Government,,,,,,Y,4,0.5,Y,N
126220,09/30/2013,0.8,,126123,172,312,18,63,17.01,30.86,1.78,12.73,976,,Y,,,,,,Y,,,,Y,,Y,Y,Y,,,,,,,,Y,,,,,,Y,,,,Y,Y,Y,Y,,,,,,,N,1,,,,,N,U,,,,,,,Y,,,,,,,,,Y,,,,Government,,,0.8,,,Y,0.8,0.5,N,N
22023,09/28/2012,1,,126303,54,141,20,24,16.27,42.47,6.02,15.83,1259,,,,,,,,,,,,,mercury,,,,,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,,N,8,,,,,N,U,,Y,,,,,,,,,,,,,,,,,,Government,1,,,,,,1,0.5,Y,N
15961,08/16/2010,0.5,,127622,417,1065,50,193,13.65,34.86,1.64,12.46,6824,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,N,8,,,,,N,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,,,,Y,0.5,0.5,Y,N
20315,08/31/2012,0.6,0.06,128281,274,552,72,119,12.73,25.65,3.35,14.51,9646,,Y,,,,,,Y,,,,,,Y,Y,Y,,Y,,,,Y,,Y,,,,,,,,,,,Y,Y,Y,,,,,,,N,1,,,,,N,N,,,,,,,Y,,,,,,,,,Y,,,,Government,0.6,,,,,Y,0.6,0.5,Y,N
160819,10/12/2012,2,,128681,1092,1441,493,214,24.38,32.17,11,19.05,1675,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,4,,,,Y,Y,Y,,,,,,,Y,,,,,,,,,Y,,,,Government,2,,,,,Y,2,0.5,Y,
115022,09/15/2015,0.39,,129487,1040,1787,265,155,23.7,40.72,6.04,6.99,6211,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,N,8,,,,,N,N,,,,Y,,,Y,,,,,,,,,Y,,,,Government,0.39,,,,,Y,0.39,0.5,Y,
100000,12/31/2017,6.75,,130021,2287,3940,523,1041,36.53,62.94,8.35,26.81,6565,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,N,6,,,,,N,N,,Y,,,,,Y,,,,Y,,,,,Y,,,,Private,6,0.75,,,,,6.75,0.5,Y,N
785859,08/01/2014,0.36,,130429,1101,2110,430,402,30.4,58.26,11.87,21.98,3868,,Y,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,Y,,,,,,,,Y,N,5,,,Y,Y,Y,Y,,Y,,Y,,,Y,,,,Y,,,,,Y,,,,Government,,,,,,Y,0.36,0.5,Y,N
35000,10/23/2012,2.13,,130725,1019,2561,270,892,21.68,54.49,5.74,29.4,6987,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,Y,,,,Y,Y,2,,,,,N,U,,,,Y,,,Y,,,,,,Y,,,,,,,Government,0.21,1.72,,,0.2,Y,2.13,0.5,N,Y
120000,04/30/2015,0.11,,130746,180,426,138,112,12.82,30.34,9.83,15.07,9485,,Y,,,,,,Y,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,,N,1,,,,,N,N,,Y,,,,,Y,,,,Y,,,,,Y,,,,Government,,,,,0.11,Y,0.11,0.5,Y,
278819,12/01/2012,0.5,,130847,1193,2469,306,200,27.16,56.2,6.97,10.46,8590,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,Y,Y,,,,,,,Y,Y,5,,,,,N,N,,,,Y,,,Y,,,,,,,,,,,,,Private,0.5,,,,,Y,0.5,0.5,Y,N
7040,02/23/2011,0.2,,131701,5,42,6,9,2.25,18.92,2.7,8.9,3060,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,8,,,,,N,N,Y,,,,,,,,,Y,,,,,,,,,,Government,0.2,,,,,Y,0.2,0.5,Y,N
38000,01/13/2012,2.76,,132022,3171,5202,918,581,26.59,43.62,7.7,12.67,12499,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,1,,,,,,U,Y,,,,,,,,,,,,,,,,,,,Government,,,,,,Y,2.76,0.5,N,N
15510,06/26/2012,2.5,,132541,49,118,10,3,32.67,78.67,6.67,5.33,3961,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,9,,,,,,N,,,,,,,,,Y,,,,,,,,,,,Government,,,,,,Y,2.5,0.5,Y,
115905,03/28/2012,0.25,,132603,5406,9976,2386,779,25.38,46.84,11.2,11.15,15954,,Y,,,,,,,,,,,,,,Y,,Y,,,,,,Y,,,,,,Y,,,,,Y,Y,Y,,Y,,,,,N,1,,,,,,N,,,,Y,,,Y,,,,,,,,,Y,,,,Government,0.25,,,,,Y,0.25,0.5,Y,N
191633,12/07/2009,0.13,,133182,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,N,9,,,,,,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,,,,Y,0.13,0.5,Y,N
10170,10/07/2011,5.3,,133241,205,534,47,36,8.23,21.44,1.89,3.69,6518,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,5,,,,,N,N,Y,,,,,,,,,Y,,,,,,,,,,Government,,,,,,Y,5.3,0.5,Y,
500,07/25/2011,0.1,,133245,227,621,62,35,8.16,22.31,2.23,3.19,8854,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,5,,,,,N,N,Y,,,,,,,,,Y,,,,,,,,,,Government,,,,,,Y,0.84,0.5,Y,
222940,07/12/2013,0.18,,133323,1753,2936,391,560,31.67,53.04,7.06,19.46,7693,,,,,,,,Y,,,,,,,Y,,,Y,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,N,1,,,Y,,Y,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Private,,0.18,,,,Y,0.18,0.5,Y,N
131000,03/16/2015,2,,133384,150,350,29,71,18.12,42.27,3.5,17.98,2246,,Y,,,,,,Y,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,,Y,6,,,Y,,Y,Y,,Y,,,,,,,,,Y,,,,,,,,,Government,,,,,,Y,2,0.5,Y,Y
223400,10/12/2017,0.27,,133550,48,130,13,162,19.35,52.42,5.24,55.05,2571,,Y,,,,,,Y,,,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,,,Y,1,,,Y,,Y,Y,,Y,,,,,Y,,,,Y,,,,,Y,,,,Government,,,0.27,,,Y,0.27,0.5,Y,Y
20000,11/01/2008,0.81,,134005,1972,3274,370,354,47.86,79.47,8.98,14.17,1794,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,1,,,,,,N,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,Y,1.42,0.5,N,
187822,06/19/2015,30,,134101,889,1474,205,190,34.23,56.76,7.89,14.86,2714,Y,,Y,Y,Y,,Y,Y,Y,Y,,,,Y,Y,,,Y,Y,,,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,,,Y,Y,Y,,Y,N,5,,Y,Y,Y,Y,Y,,,,Y,,Y,Y,,,,,,Y,,Y,Y,,,,Government,,,,,,Y,34,0.5,Y,N
46010,01/26/2012,7,,134381,1,3,0,0,11.11,33.33,0,0,291,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,N,8,,,,,N,N,,,,,,,Y,,,,,,,,,Y,,,,Government,0,6,0,,1,Y,7,0.5,Y,
8258,01/26/2012,1,,134384,0,2,0,0,0,50,0,0,10,,,,,,,,,,,,Y,Hazardous waste trash,,,Y,,Y,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,,N,8,,,,,N,N,,,,,,,,,Y,,,,,,,,,,,Government,1,,,,,Y,1,0.5,Y,
775000,12/31/2011,0.91,,134541,472,1886,359,204,12.02,48.03,9.14,13.49,6613,,,,,,,,,,,,Y,solid waste,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,N,4,,Y,,Y,Y,Y,,,,,,,Y,,,,,,,,,Y,,,,Government,,,,,0.91,Y,0.91,0.5,Y,N
10000,09/28/2011,0.16,0.68,134661,326,596,96,12,42.67,78.01,12.57,5.75,2111,,Y,,,,,,Y,,,,,,,,,,,,,,Y,,Y,,,,,,Y,,,,,,,,,,,,,Y,N,8,,,,,N,N,Y,,,,,,Y,,,Y,,,,,,Y,,,,Government,0.3,0.5,,,,Y,0.68,0.5,Y,N
256638,01/22/2013,8.2,,134681,761,1242,184,154,49.45,80.7,11.96,22.21,1336,,,,,,,,Y,,,,Y,Glass Frit,Y,Y,,,,,,,,,,,,,,,Y,,,,Y,Y,Y,,,,,,,,N,4,,,Y,Y,Y,Y,,,,,,,Y,,,,,,,,,Y,,,,Government,,,8.2,,,Y,8.2,0.5,Y,N
101000,12/05/2011,1.25,,135322,238,613,90,137,20.22,52.08,7.65,21.23,8201,,Y,,,,,,Y,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,,N,6,,,Y,,Y,Y,,Y,,,,,,,,,Y,,,,,,,,,Government,,,1.25,,,Y,1.25,0.5,Y,
58000,08/19/2011,0.25,,135361,634,2110,273,130,12.6,41.92,5.42,7.51,4727,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,8,,,,,N,N,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,N,0.25,0.5,N,
606740,08/31/2011,2.97,2.97,135501,1329,2179,187,198,31.48,51.61,4.43,12.55,2042,,Y,,,,,,Y,,,,Y,Urban Fill,Y,Y,,,,,,,Y,,Y,,,,,,Y,,,,Y,Y,Y,,,,,,,Y,N,5,,,,,N,N,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,2.97,,,,,Y,2.97,0.5,Y,N
220093,07/25/2013,3.8,,135524,239,529,45,64,11.9,26.33,2.24,7.61,1358,Y,,,,,,,Y,,,,Y,Hydrocarbons,Y,Y,,,,,,,Y,Y,,,,,,,Y,,,,Y,Y,Y,,,,,,,Y,Y,7,,,,Y,N,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,,,3.8,,,Y,3.8,0.5,N,Y
70235,06/28/2012,0.77,,135538,9,19,2,5,12.68,26.76,2.82,16.11,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,8,,,,,,N,Y,,,,,,,,,,,,,,,,,,,Government,,,,,,Y,0.77,0.5,Y,N
203080,08/30/2013,0.03,,135581,664,993,128,182,33.03,49.4,6.37,16.55,2339,,Y,,,,,,Y,,,,Y,mold,,,,,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,,N,7,,,,Y,Y,Y,,Y,,,,,,,,Y,Y,,,,,,,,,Private,0.09,,,,,Y,0.1,0.5,Y,
200000,07/31/2012,0.75,,135925,471,1381,224,136,8.71,25.53,4.14,5.58,19036,,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,,,,Y,,,,,Y,,,,Y,,,,,Y,10,,,,Y,N,Y,,,,,,,Y,,,,,,,,,Y,,,,Private,0.75,,,,,Y,0.75,0.5,N,Y
75000,10/15/2011,10.95,,136081,316,488,102,67,35.55,54.89,11.47,12.33,4501,,,,,,,,Y,,,,,,Y,Y,,,,,,,Y,,,,,,,,Y,,,,,Y,Y,,,,,,,Y,N,5,,,,,,N,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,5,,5.95,,,N,10.95,0.5,Y,
265187,06/30/2011,2,,136323,1389,2284,255,49,44.21,72.69,8.12,4.91,6867,,,,,,,,Y,,,,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,Y,Y,,,,,,,N,9,,,,,N,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,,,,Y,3.5,0.5,Y,
215448,02/13/2015,0.42,,136721,2049,3774,534,500,20.11,37.05,5.24,11.7,9625,,,,,,,,Y,,,,,,,Y,,,Y,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,N,1,,,Y,,N,N,,,,,,,Y,,,,,,,,,Y,,,,Government,0.42,,,,,,0.42,0.5,Y,
250000,07/31/2018,1.58,,136844,242,1007,121,71,10.24,42.62,5.12,7.98,2800,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,Y,1,,,Y,Y,Y,Y,,Y,,,,,,,,,Y,,,,,,,,,Government,,,,,,,1.58,0.5,Y,Y
255432,03/06/2015,0.35,,136964,935,1321,161,110,41.72,58.95,7.18,10.17,7695,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,8,,,,,,N,,Y,,,,,,,,,Y,,,,,,,,,Private,,,,,,Y,0.35,0.5,Y,N
286000,11/30/2012,1,,136971,835,2029,311,228,15.53,37.73,5.78,8.43,5187,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,Y,Y,,,,,,,,N,5,,,Y,,N,Y,,Y,,,,,Y,,,,Y,,,,,Y,,,,Government,,,4.4,,,Y,4.4,0.5,N,
215000,02/22/2007,12,,137368,458,1059,155,208,9.98,23.08,3.38,8.02,8518,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,N,5,,Y,Y,,N,Y,,,,Y,,,Y,,,,,,,,,Y,,,,Government,,,12,,,Y,12,0.5,N,
